Manufacturer,IntelCore(i-),IntelCoreGen,processing speed(GHz),Ram(gb),HDD(gb),SSD(gb),Graphics(gb),ScreenSize(inch),Price
Dell,3,7,2.29,4,1000,0,0,15.6,39057
Dell,3,7,2.3,4,1000,0,0,15.6,45141
HP,3,7,2.3,8,256,256,0,14,35999
ASUS,3,7,2.3,,1000,0,0,14,39990
HP,3,7,2.4,4,1000,0,0,15.6,36263
HP,2,4,2.3,4,500,256,0,14,26403
Lenovo,3,7,2.3,4,1000,0,0,15.6,38290
HP,5,8,1.6,8,1000,0,0,14,53554
Lenovo,1,3,1.8,4,1000,0,0,15.6,29990
Dell,3,8,3.9,4,1000,0,0,14,38090
HP,3,7,2.3,8,1000,0,0,15.6,42192
Lenovo,2,5,2.3,4,1000,0,0,15.6,34890
HP,3,7,2.3,4,1000,0,0,14,33905
Lenovo,3,8,2.1,4,1000,0,0,15.6,42590
Lenovo,3,8,2.1,8,1000,0,0,15.6,45390
HP,3,7,2.3,8,1000,0,0,15.6,40338
ASUS,5,8,1.6,8,512,512,0,15.6,56990
Lenovo,1,3,1.8,,1000,0,0,15.6,30690
HP,3,7,2.4,4,1000,0,0,15.6,35634
HP,5,9,2.4,8,1000,256,4,15.6,74931
ASUS,5,9,2.1,8,1000,512,4,15.6,97990
HP,5,9,2.4,8,1000,0,4,15.6,69071
ASUS,7,8,2.2,8,1000,16,4,15.6,109999
Lenovo,7,9,2.6,8,1000,256,4,15.6,118890
Lenovo,7,9,2.6,16,1000,256,4,15.6,128690
Lenovo,7,9,2.6,8,1000,512,4,15.6,118890
Lenovo,5,9,2.4,8,1000,256,3,15.6,92990
ASUS,7,9,2.6,32,1000,512,8,17.3,402990
HP,7,9,2.6,8,1000,256,4,15.6,99555
Dell,3,9,2.29,4,1000,0,0,15.6,39632
Dell,3,8,2.3,4,1000,0,0,15.6,46545
HP,3,10,2.3,8,256,256,0,14,36895
ASUS,3,10,2.3,4,1000,0,0,14,41428
HP,3,8,2.4,4,1000,0,0,15.6,35945
HP,2,7,2.3,4,500,256,0,14,26052
Lenovo,3,10,2.3,4,1000,0,0,15.6,38552
HP,5,10,1.6,8,1000,0,0,14,54610
Lenovo,1,5,1.8,,1000,0,0,15.6,29984
Dell,3,10,3.9,4,1000,0,0,14,37319
HP,3,10,2.3,,1000,0,0,15.6,43705
Lenovo,2,8,2.3,8,1000,0,0,15.6,34591
HP,3,10,2.3,4,1000,0,0,14,34194
Lenovo,3,10,2.1,4,1000,0,0,15.6,42500
Lenovo,3,10,2.1,8,1000,0,0,15.6,45199
HP,3,8,2.3,32,1000,0,0,15.6,40882
ASUS,5,9,1.6,8,512,512,0,15.6,56764
Lenovo,1,4,1.8,4,1000,0,0,15.6,29717
HP,3,8,2.4,4,1000,0,0,15.6,37627
HP,5,10,2.4,16,1000,256,4,15.6,76562
ASUS,5,10,2.1,8,1000,512,4,15.6,99977
HP,5,10,2.4,8,1000,0,4,15.6,70109
ASUS,7,10,2.2,8,1000,16,0,15.6,109255
Lenovo,7,11,2.6,8,1000,256,0,15.6,120573
Lenovo,7,11,2.6,16,1000,256,0,15.6,130364
Lenovo,7,11,2.6,,1000,0,0,15.6,120705
Lenovo,5,10,2.4,8,1000,256,0,15.6,93993
ASUS,7,10,2.6,32,1000,0,0,17.3,404393
HP,7,11,2.6,8,1000,256,4,15.6,99415
Lenovo,2,5,2.3,4,1000,0,0,15.6,34890
HP,3,7,2.3,4,1000,0,0,14,33905
Lenovo,3,8,2.1,4,1000,0,0,15.6,42590
Lenovo,3,8,2.1,8,1000,0,0,15.6,45390
HP,3,7,2.3,8,1000,0,0,15.6,40338
ASUS,5,8,1.6,8,512,512,0,15.6,56990
Lenovo,1,3,1.8,,1000,0,0,15.6,30690
HP,3,7,2.4,4,1000,0,0,15.6,35634
HP,5,9,2.4,8,1000,256,4,15.6,74931
ASUS,5,9,2.1,8,1000,512,4,15.6,97990
HP,5,9,2.4,8,1000,0,4,15.6,69071
ASUS,7,8,2.2,8,1000,16,4,15.6,109999
Lenovo,7,9,2.6,8,1000,256,4,15.6,118890
Lenovo,7,9,2.6,16,1000,256,4,15.6,128690
Lenovo,7,9,2.6,8,1000,512,4,15.6,118890
Lenovo,5,9,2.4,8,1000,256,3,15.6,92990
ASUS,7,9,2.6,32,1000,512,8,17.3,402990
HP,7,9,2.6,8,1000,256,4,15.6,99555
Dell,3,9,2.29,4,1000,0,0,15.6,39632
Dell,3,8,2.3,4,1000,0,0,15.6,46545
HP,3,10,2.3,8,256,256,0,14,36895
ASUS,3,10,2.3,4,1000,0,0,14,41428
HP,3,8,2.4,4,1000,0,0,15.6,35945
HP,2,7,2.3,4,500,256,0,14,26052
Lenovo,3,10,2.3,4,1000,0,0,15.6,38552
HP,5,10,1.6,8,1000,0,4,14,60017
Lenovo,1,5,1.8,,1000,0,4,15.6,35256
Dell,3,10,3.9,4,1000,0,4,14,44880
HP,3,10,2.3,,1000,0,0,15.6,43705
Lenovo,2,8,2.3,8,1000,0,0,15.6,34591
HP,3,10,2.3,4,1000,0,8,14,46821
Lenovo,3,10,2.1,4,1000,0,0,15.6,42500
Lenovo,3,10,2.1,8,1000,0,0,15.6,45199
HP,3,8,2.3,32,1000,0,4,15.6,46523
ASUS,5,9,1.6,8,512,512,0,15.6,56764
Lenovo,1,4,1.8,4,1000,0,8,15.6,40213
HP,3,8,2.4,,1000,0,0,15.6,37627
HP,5,10,2.4,16,1000,256,4,15.6,83716
ASUS,5,10,2.1,8,1000,512,4,15.6,104907
HP,5,10,2.4,8,1000,0,4,15.6,74831
ASUS,7,10,2.2,8,1000,16,0,15.6,109255
Lenovo,7,11,2.6,8,1000,256,4,15.6,124896
Lenovo,7,11,2.6,16,1000,256,8,15.6,139378
Lenovo,7,11,2.6,8,1000,0,8,15.6,132109
Lenovo,5,10,2.4,8,1000,256,4,15.6,99895
ASUS,7,10,2.6,32,1000,0,8,17.3,417052
HP,7,11,2.6,8,1000,256,4,15.6,104282
